nom,dci1,dosage,unite_dosage,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement,nom_ar,search_name
gastrografine 370 mg d'iode/ml,AMIDOTRIZOATE DE SODIUM / AMIDOTRIZOATE DE MEGLUMINE,10 / 66,G / G,SOLUTION BUVABLE OU RECTALE,1 FLACON 100 ML,150.7,99.7,150.7,P,0%,جاستروجرافيني 370 مج د'يودي/مل,gastrografine 370 mg d iode ml
lifongid 250mg,TERBINAFINE,250,MG,COMPRIME,1 BOITE 14 COMPRIME,139.0,86.6,139.0,G,70%,ليفونجيد 250مج,lifongid 250mg
imatinib cooper,IMATINIB,100,MG,GELULE,1 BOITE 120 GELULE,3800.0,3500.0,3800.0,G,70%,يماتينيب كووبير,imatinib cooper
icaz lp,ISRADIPINE,5,MG,GELULE LP,1 BOITE 30 GELULE,205.0,128.3,205.0,P,70%,يكاز لب,icaz lp
terbinafine gt,TERBINAFINE,250,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME,269.0,167.6,269.0,G,70%,تيربينافيني جت,terbinafine gt
inaler,SALBUTAMOL,2,MG/5ML,SOLUTION BUVABLE,1 FLACON 100 ML,16.3,10.2,16.3,G,70%,ينالير,inaler
terpone,TERPINE,200,MG,SIROP,1 FLACON 200 ML,23.6,15.6,23.6,P,0%,تيربوني,terpone
clarityne,LORATADINE,10,MG,COMPRIME SECABLE,1 BOITE 15 COMPRIME SECABLE,66.2,41.3,48.9,P,70%,كلاريتيني,clarityne
furilan,FUROSEMIDE,40,MG,COMPRIME,1 BOITE 20 COMPRIME,20.0,12.5,20.0,G,70%,فوريلان,furilan
erysol,ERYTHROMYCINE,2,%,GEL,1 TUBE 25 G,80.0,52.5,80.0,P,0%,يريسول,erysol
cipro lp 1 g,CIPROFLOXACINE,506.0,MG,COMPRIME PELLICULE LP,1 BOITE 7 COMPRIME PELLICULE,232.8,154.0,232.8,P,0%,كيبرو لب 1 ج,cipro lp 1 g
valpakine 200 mg/ml,VALPROATE DE SODIUM,200,MG/ML,SIROP,1 FLACON 40 ML,44.15,29.2,44.15,G,0%,فالباكيني 200 مج/مل,valpakine 200 mg ml
xenetix 300,IOBITRIDOL,65.81,G,SOLUTION INJECTABLE,1 FLACON 100 ML,618.1,408.9,618.1,P,0%,كسينيتيكس 300,xenetix 300
mercryl,CHLORURE DE BENZALKONIUM / DIGLUCONATE DE CHLORHEXIDINE,1.5 / 0.6,G / G,SOLUTION MOUSSANTE POUR APPLICATION LOCALE,1 FLACON 300 ML,21.15,14.0,21.15,P,0%,ميركريل,mercryl
coralan,IVABRADINE,7.5,MG,COMPRIME PELLICULE,1 BOITE 56 COMPRIME,719.0,478.0,719.0,P,70%,كورالان,coralan
humex mal de gorge miel citron 20 mg,BICLOTYMOL,20,MG,PASTILLE A SUCER,1 BOITE 12 PASTILLE,34.0,22.5,34.0,G,0%,هوميكس مال دي جورجي مييل كيترون 20 مج,humex mal de gorge miel citron 20 mg
parlodel,BROMOCRIPTINE,2.5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,125.2,78.0,125.2,P,70%,بارلوديل,parlodel
praxilene 200,NAFTIDROFURYL,200,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME,76.5,50.6,76.5,P,0%,براكسيليني 200,praxilene 200
rozex,METRONIDAZOLE,0.75,%,GEL,1 TUBE 30 G,101.6,67.2,101.6,P,0%,روزيكس,rozex
actapulgite,ATTAPULGITE DE MORMOIRON ACTIVEE,3,G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 30 SACHET,34.45,22.8,34.45,P,0%,اكتابولجيتي,actapulgite
seroplex,ESCITALOPRAM,10,MG,COMPRIME PELLICULE SECABLE,1 BOITE 14 COMPRIME,121.0,75.4,71.8,P,70%,سيروبليكس,seroplex
eprex 4000 ui/ml,EPOETINE ALFA,2000,UI,SOLUTION INJECTABLE,6 SERINGUE PREREMPLIE .5 ML,1381.0,1087.0,1381.0,P,70%,يبريكس 4000 وي/مل,eprex 4000 ui ml
glycan 850 retard,METFORMINE,850,MG,COMPRIME ENROBE LP,1 BOITE 30 COMPRIME,21.4,13.4,21.4,G,70%,جليكان 850 ريتارد,glycan 850 retard
posicycline,OXYTETRACYCLINE,1,%,COLLYRE,1 FLACON 5 ML,29.9,19.75,29.9,P,0%,بوسيكيكليني,posicycline
arginine veyron,ARGININE,75,G,SIROP,1 FLACON 125 ML,38.3,25.3,38.3,G,0%,ارجينيني فييرون,arginine veyron
lescol lp,FLUVASTATINE,80,MG,COMPRIME ENROBE LP,1 BOITE 14 COMPRIME ENROBE,184.6,122.1,184.6,P,70%,ليسكول لب,lescol lp
duxil,ALMITRINE / RAUBASINE,1.875 / 0.625,G / G,SUSPENSION BUVABLE,1 FLACON 48 ML,127.4,0.0,127.4,P,0%,دوكسيل,duxil
gentamen 120,GENTAMICINE,120,MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,90.0,59.5,77.0,P,70%,جينتامين 120,gentamen 120
ceftaject i.v 1g/3.5ml,CEFTRIAXONE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,90.0,0.0,90.0,G,70%,كيفتاجيكت ي.ف 1ج/3.5مل,ceftaject i v 1g 3 5ml
gabamox,GABAPENTINE,400,MG,GELULE,1 BOITE 30 GELULE,210.0,138.9,210.0,G,0%,جاباموكس,gabamox
cezin,CETIRIZINE,10,MG,COMPRIME,1 BOITE 28 COMPRIME,38.0,23.7,38.0,G,70%,كيزين,cezin
bi-profenid,KETOPROFENE,150,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,92.5,57.6,92.5,P,70%,بي-بروفينيد,bi profenid
ado,METFORMINE,850,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME PELLICULE,34.0,21.2,34.0,G,70%,ادو,ado
trobicine,SPECTINOMYCINE,2,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,85.0,0.0,85.0,P,70%,تروبيكيني,trobicine
uradox 2mg,DOXAZOSINE,2,MG,COMPRIME,1 BOITE 20 COMPRIME,53.0,35.0,53.0,G,0%,ورادوكس 2مج,uradox 2mg
roxid,NIFUROXAZIDE,200,MG,GELULE,1 BOITE 16 GELULE,18.3,11.4,18.3,G,70%,روكسيد,roxid
zyrdol 500 mg/100ml,METRONIDAZOLE,500,MG,SOLUTION POUR PERFUSION,1 FLACON 100 ML,45.0,28.0,45.0,G,70%,زيردول 500 مج/100مل,zyrdol 500 mg 100ml
voltarene sr,DICLOFENAC,75,MG,COMPRIME LP,1 BOITE 20 COMPRIME,76.2,47.5,52.2,P,70%,فولتاريني سر,voltarene sr
cleniderm,BECLOMETASONE,0.025,%,CREME,1 TUBE 30 G,20.0,13.2,20.0,G,0%,كلينيديرم,cleniderm
vivamyne multi,MULTIVITAMINES ET MINERAUX,,,COMPRIME ENROBE,1 BOITE 15 COMPRIME,37.0,0.0,37.0,P,0%,فيفاميني مولتي,vivamyne multi
neocip,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME,110.0,68.5,110.0,G,70%,نيوكيب,neocip
stimol 1 g,CITRULINE MALEATE,1,G,POUDRE EFFERVESCENTE POUR SOLUTION BUVABLE,1 BOITE 18 SACHET DOSE,82.9,54.8,82.9,P,0%,ستيمول 1 ج,stimol 1 g
humalog,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,5 CARTOUCHE 3 ML,499.0,331.0,499.0,P,70%,هومالوج,humalog
umuline nph,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 FLACON 10 ML,166.0,103.7,130.0,P,70%,وموليني نبه,umuline nph
algixene,NAPROXENE,250,MG,GELULE,1 BOITE 30 GELULE,47.9,29.8,47.9,G,70%,الجيكسيني,algixene
humex (fournier) tampon,LEVOMENTHOL / CAMPHRE RACEMIQUE,42.11 / 42.11,G / G,TAMPON POUR INHALATION,1 BOITE 1 TAMPON,19.0,12.6,19.0,G,0%,هوميكس (فوورنيير) تامبون,humex fournier tampon
myfortic 180 mg,ACIDE MYCOPHENOLIQUE,180,MG,COMPRIME PELLICULE GASTRO-RESISTANT,1 BOITE 120 COMPRIME PELLICULE GASTRO-RESISTANT,0.0,1092.6,1092.6,P,0%,ميفورتيك 180 مج,myfortic 180 mg
dopezil ranbaxy,DONEPEZIL,10,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,506.0,336.7,506.0,G,70%,دوبيزيل رانباكسي,dopezil ranbaxy
normacide,RANITIDINE,150,MG,COMPRIME,1 BOITE 20 COMPRIME,81.5,50.8,81.5,G,70%,نورماكيدي,normacide
letrozole gt,LETROZOLE,2.5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,713.0,474.0,713.0,G,70%,ليتروزولي جت,letrozole gt
amiklin,AMIKACINE,250,MG,POUDRE POUR SOLUTION INJECTABLE,1 FLACON 250 ML,103.8,68.7,103.8,P,70%,اميكلين,amiklin
clavam,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 12 SACHET,120.0,0.0,120.0,G,70%,كلافام,clavam
trophires compose enfants,HUILE ESSENTIELLE DEUCALYPTUS / PARACETAMOL,75 / 300,MG / MG,SUPPOSITOIRE,1 BOITE 8 SUPPOSITOIRE,11.5,0.0,11.5,P,0%,تروبهيريس كومبوسي ينفانتس,trophires compose enfants
esmeron,ROCURONIUM,50,MG,SOLUTION INJECTABLE,1 BOITE 12 AMPOULE INJECTABLE,997.4,659.8,997.4,P,0%,يسميرون,esmeron
fixical d3,CALCIUM / COLECALCIFEROL (VITAMINE D3),500 / 400,MG / UI,COMPRIME A CROQUER,1 BOITE 30 COMPRIME,42.2,0.0,42.2,G,70%,فيكسيكال د3,fixical d3
no-dep,SERTRALINE,50,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME,201.0,125.4,201.0,G,70%,نو-ديب,no dep
fostimon 150 ui/ml,UROFOLLITROPINE,150,UI,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,5 SERINGUE PREREMPLIE 1 ML,1434.0,948.0,1434.0,P,0%,فوستيمون 150 وي/مل,fostimon 150 ui ml
dexamethasone mylan,DEXAMETHASONE,4,MG,SOLUTION INJECTABLE,1 BOITE 20 AMPOULE INJECTABLE,182.4,114.0,182.4,G,70%,ديكساميتهاسوني ميلان,dexamethasone mylan
sodrix 2.5mg,INDAPAMIDE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,36.0,22.5,36.0,G,70%,سودريكس 2.5مج,sodrix 2 5mg
triatec protect,RAMIPRIL,10,MG,COMPRIME SECABLE,1 BOITE 15 COMPRIME,112.0,70.0,56.0,P,70%,ترياتيك بروتيكت,triatec protect
catarstat,PYRIDOXINE (VITAMINE B6) / ACIDE L GLUTAMIQUE,2 / 38,MG / MG,COLLYRE,1 FLACON 10 ML,35.9,23.7,35.9,G,0%,كاتارستات,catarstat
lansoyl gel,PARAFFINE LIQUIDE,78,G,GEL ORAL,1 POT 225 G,40.7,0.0,40.7,P,0%,لانسويل جيل,lansoyl gel
lidocaine 2% laprophan adrenaline,ADRENALINE / LIDOCAINE,0.125 / 2,% / %,SOLUTION INJECTABLE,1 AMPOULE 10 ML,9.9,6.2,9.9,G,70%,ليدوكايني 2% لابروبهان ادريناليني,lidocaine 2 laprophan adrenaline
sebivo 600 mg,TELBIVUDINE,600,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,0.0,1782.6,1782.6,P,0%,سيبيفو 600 مج,sebivo 600 mg
bacicoline,BACITRACINE / COLISTIMETHATE,25000000 / 1,UI / G,POUDRE ET SOLVANT POUR COLLYRE,1 BOITE 1 FLACON,35.0,23.15,35.0,P,0%,باكيكوليني,bacicoline
xatral lp,ALFUZOSINE,5,MG,COMPRIME ENROBE LP,1 BOITE 56 COMPRIME,454.4,300.6,454.4,P,70%,كساترال لب,xatral lp
anglor,AMLODIPINE,10,MG,COMPRIME,1 BOITE 28 COMPRIME,77.4,48.4,77.4,G,70%,انجلور,anglor
zaditen,KETOTIFENE,1,MG,SOLUTION BUVABLE,1 FLACON 150 ML,67.7,44.8,67.7,P,0%,زاديتين,zaditen
lacteol fort,LACTOBACILLUS ACIDOPHILLUS,10000,MUI,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 20 SACHET,37.5,0.0,37.5,P,0%,لاكتيول فورت,lacteol fort
sintrom,ACENOCOUMAROL,4,MG,COMPRIME QUADRISECABLE,1 BOITE 10 COMPRIME SECABLE,17.9,11.2,17.9,P,70%,سينتروم,sintrom
tms 500 mg,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 2 COMPRIME,40.0,24.9,40.0,G,70%,تمس 500 مج,tms 500 mg
revlimid 10 mg,LENALIDOMIDE,10,MG,GELULE,1 BOITE 21 GELULE,0.0,50475.0,50475.0,P,0%,ريفليميد 10 مج,revlimid 10 mg
dostinex,CABERGOLINE,0.5,MG,COMPRIME,1 BOITE 2 COMPRIME,156.6,97.6,156.6,P,70%,دوستينيكس,dostinex
onifine,TERBINAFINE,250,MG,COMPRIME,1 BOITE 28 COMPRIME,237.0,147.7,237.0,G,70%,ونيفيني,onifine
trivastal,PIRIBEDIL,20,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,23.5,15.5,23.5,P,70%,تريفاستال,trivastal
neo-codion adultes,CODEINE,0.1722,%,SIROP,1 FLACON 150 ML,17.6,11.6,17.6,P,0%,نيو-كوديون ادولتيس,neo codion adultes
amep 10,AMLODIPINE,10,MG,COMPRIME,1 BOITE 14 COMPRIME,54.8,34.2,54.8,G,70%,اميب 10,amep 10
novorapid penfill,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,5 CARTOUCHE 3 ML,517.0,344.0,517.0,P,70%,نوفورابيد بينفيلل,novorapid penfill
estrapatch 80 µg/24 heures,ESTRADIOL,2.50,MG,DISPOSITIF TRANSDERMIQUE,1 BOITE 4 PATCH,95.5,63.2,95.5,P,0%,يستراباتكه 80 µج/24 هيوريس,estrapatch 80 ug 24 heures
visken,PINDOLOL,5,MG,COMPRIME,1 BOITE 50 COMPRIME,56.1,37.1,56.1,P,70%,فيسكين,visken
azilide 200 mg/ 5 ml,AZITHROMYCINE,200,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 30 ML,69.0,45.6,69.0,G,0%,ازيليدي 200 مج/ 5 مل,azilide 200 mg 5 ml
cardioaspirine,ACIDE ACETYLSALICYLIQUE,100,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 30 COMPRIME,31.6,19.8,31.6,P,70%,كارديواسبيريني,cardioaspirine
inikal 10 mg,AMLODIPINE,10,MG,COMPRIME,1 BOITE 30 COMPRIME,76.0,47.5,76.0,G,70%,ينيكال 10 مج,inikal 10 mg
bucopen,PHENOXYMETHYLPENICILLINE,1,MUI,COMPRIME PELLICULE,1 BOITE 12 COMPRIME,29.0,18.1,29.0,G,70%,بوكوبين,bucopen
vaccin bcg ssi,LA TUBERCULOSE [BCG],,,POUDRE POUR SUSPENSION INJECTABLE,1 BOITE 1 FLACON,65.5,40.8,65.5,P,70%,فاككين بكج سسي,vaccin bcg ssi
tritanrix hb,VACCIN D.T.COQ.HEPATITE B,,,PREPARATION INJECTABLE,1 BOITE 1 FLACON,122.8,76.5,122.8,P,70%,تريتانريكس هب,tritanrix hb
trimedat,TRIMEBUTINE,150,MG,GELULE,1 BOITE 30 GELULE,74.4,46.4,74.4,G,70%,تريميدات,trimedat
galvus met 50mg/1000mg,VILDAGLIPTINE / METFORMINE,50 / 1000,MG / MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME PELLICULE,392.0,259.3,392.0,P,0%,جالفوس ميت 50مج/1000مج,galvus met 50mg 1000mg
uro 3000 chlorure de sodium aguettant,CHLORURE DE SODIUM,0.9,G,SOLUTION POUR IRRIGATION,1 POCHE 3 L,105.0,0.0,105.0,P,0%,ورو 3000 كهلوروري دي سوديوم اجويتتانت,uro 3000 chlorure de sodium aguettant
eau p.p.i.,EAU POUR PREPARATION INJECTABLE,10,ML,SOLVANT POUR PEPARATION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE,26.7,17.7,26.7,G,0%,ياو ب.ب.ي.,eau p p i
humex nasal,CHLORURE DE BENZALKONIUM,0.04,%,SOLUTION POUR PULVERISATION NASALE,1 FLACON 15 ML,20.4,13.5,20.4,G,0%,هوميكس ناسال,humex nasal
antarene,IBUPROFENE,200,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,23.5,14.6,23.5,G,70%,انتاريني,antarene
diaster,CORTIVAZOL,0.4,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,34.7,22.9,34.7,P,0%,دياستير,diaster
detensiel,BISOPROLOL,10,MG,COMPRIME PELLICULE SECABLE,1 BOITE 30 COMPRIME PELLICULE SECABLE,72.0,45.0,72.0,P,70%,ديتينسييل,detensiel
diane 35,CYPROTERONE / ETHINYLESTRADIOL,2 / 35,MG / µG,COMPRIME ENROBE,1 BOITE 21 COMPRIME,52.1,0.0,52.1,P,0%,دياني 35,diane 35
naproxene pharma,NAPROXENE,275,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 6 FLACON,32.6,20.3,32.6,G,70%,نابروكسيني بهارما,naproxene pharma
zarex,CARBOPLATINE,150,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,968.0,687.0,968.0,G,70%,زاريكس,zarex
triaxon 1g i.m.,CEFTRIAXONE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,114.3,71.2,114.3,G,70%,ترياكسون 1ج ي.م.,triaxon 1g i m
pharmatex,BENZALKONIUM,54,MG,CREME VAGINALE,1 BOITE 6 TUBE,73.8,48.8,73.8,P,0%,بهارماتيكس,pharmatex
genotropin,SOMATROPINE,16,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 CARTOUCHE,1212.0,914.0,1212.0,P,70%,جينوتروبين,genotropin
progor,DILTIAZEM,180,MG,GELULE LP,1 BOITE 28 GELULE,122.0,76.2,122.0,G,70%,بروجور,progor
agyrax,MECLOZINE,25,MG,COMPRIME,1 BOITE 30 COMPRIME,25.0,16.5,25.0,P,0%,اجيراكس,agyrax
megaflox ist,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 2 COMPRIME,38.0,23.7,38.0,G,70%,ميجافلوكس يست,megaflox ist
furazide,NITROFURANTOINE,50,MG,COMPRIME,1 BOITE 21 COMPRIME,17.3,10.8,17.3,G,70%,فورازيدي,furazide
athymil,MIANSERINE,30,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,98.3,61.2,98.3,P,70%,اتهيميل,athymil
fungizone,AMPHOTERICINE B,3,%,LOTION,1 FLACON 30 ML,18.0,11.2,18.0,P,70%,فونجيزوني,fungizone
zentel,ALBENDAZOLE,400,MG,COMPRIME,1 BOITE 1 COMPRIME,37.3,23.2,21.3,P,70%,زينتيل,zentel
lodoz,BISOPROLOL / HYDROCHLOROTHIAZIDE,10 / 6.25,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,76.0,47.5,76.0,P,70%,لودوز,lodoz
alperide 200 mg,AMISULPRIDE,200,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,204.0,127.3,204.0,G,70%,البيريدي 200 مج,alperide 200 mg
ditropan,OXYBUTININE,5,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME,76.85,50.8,76.85,P,0%,ديتروبان,ditropan
endoxan 50 mg,CYCLOPHOSPHAMIDE,50,MG,COMPRIME ENROBE,1 BOITE 50 COMPRIME ENROBE,87.2,54.5,87.2,P,70%,يندوكسان 50 مج,endoxan 50 mg
emadine,EMEDASTINE,0.05,%,COLLYRE,1 FLACON 5 ML,100.0,66.15,100.0,P,0%,يماديني,emadine
lacine,LOSARTAN,50,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME,159.9,100.0,159.9,G,70%,لاكيني,lacine
methotrexate biodim,METHOTREXATE,5,MG,SOLUTION INJECTABLE,1 FLACON 2 ML,30.7,20.3,30.7,G,70%,ميتهوتريكساتي بيوديم,methotrexate biodim
rapifen (h),ALFENTANIL,1,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE,0.0,39.8,39.8,P,0%,رابيفين (ه),rapifen h
floxil,FLUCLOXACILLINE,500,MG,GELULE,1 BOITE 16 GELULE,79.3,49.4,79.3,G,70%,فلوكسيل,floxil
hexapneumine ad,BICLOTYMOL,,,SUPPOSITOIRE,1 BOITE 6 SUPPOSITOIRE,17.85,11.8,17.85,G,0%,هيكسابنيوميني اد,hexapneumine ad
fluoro uracile icn,FLUOROURACIL,250,MG,SOLUTION POUR PERFUSION,1 BOITE 12 VIALS,257.0,161.0,257.0,P,70%,فلوورو وراكيلي يكن,fluoro uracile icn
tiaflam 200mg,ACIDE TIAPROFENIQUE,200,MG,COMPRIME,1 BOITE 10 COMPRIME,20.2,13.4,20.2,G,0%,تيافلام 200مج,tiaflam 200mg
moneva,GESTODENE / ETHINYLESTRADIOL,0.075 / 0.03,MG / MG,COMPRIME ENROBE,1 BOITE 21 COMPRIME ENROBE,62.9,0.0,62.9,P,0%,مونيفا,moneva
deltazine adrenaline,ARTICAINE,72,MG,SOLUTION INJECTABLE,1 BOITE 50 CARTOUCHE,205.0,0.0,205.0,P,0%,ديلتازيني ادريناليني,deltazine adrenaline
colposeptine,CHLORQUINALDOL / PROMESTRIENE,200 / 10,MG / MG,COMPRIME GYNECOLOGIQUE,1 BOITE 18 COMPRIME GYNECOLOGIQUE,47.2,31.2,47.2,P,0%,كولبوسيبتيني,colposeptine
oflocet,OFLOXACINE,200,MG,SOLUTION POUR PERFUSION,1 FLACON 40 ML,285.0,189.2,285.0,P,70%,وفلوكيت,oflocet
trisium,SULFAMETHOXAZOLE / TRIMETHOPRIME / BROMHEXINE,4 / 800 / 4,G / MG / MG,SUSPENSION BUVABLE,1 FLACON 120 ML,29.5,19.5,29.5,G,0%,تريسيوم,trisium
triomune 30,STAVUDINE / LAMIVUDINE,30 / 150,MG / MG,COMPRIME,1 BOITE 30 COMPRIME,75.6,47.2,75.6,G,70%,تريوموني 30,triomune 30
saflu,FLUTICASONE / SALMETEROL,250 / 25,µG / µG,SUSPENSION POUR INHALATION,1 FLACON 120 DOSE,195.0,121.9,195.0,G,70%,سافلو,saflu
dolmax f.t. 500,PARACETAMOL,500,MG,COMPRIME ORODISPERSIBLE,1 BOITE 12 COMPRIME ORODISPERSIBLE,16.0,10.0,16.0,G,70%,دولماكس ف.ت. 500,dolmax f t 500
aphilan,BUCLIZINE,25,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,14.9,9.85,14.9,P,0%,ابهيلان,aphilan
calcidia,CALCIUM,1540,MG,GRANULE POUR SUSPENSION BUVABLE,1 BOITE 20 SACHET,61.6,38.4,61.6,P,70%,كالكيديا,calcidia
novoclin 1g/125mg,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 24 SACHET,188.0,117.1,188.0,G,70%,نوفوكلين 1ج/125مج,novoclin 1g 125mg
phaeva,GESTODENE / ETHINYLESTRADIOL,0.05 / 0.03,MG / MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE,75.4,0.0,75.4,P,0%,بهايفا,phaeva
codetux enf,CODEINE,90,%,SIROP,1 FLACON 125 ML,13.35,8.8,13.35,G,0%,كوديتوكس ينف,codetux enf
epirubicine mylan 2 mg/ml,EPIRUBICINE,10 / 5,MG/ML,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,74.4,46.5,74.4,G,70%,يبيروبيكيني ميلان 2 مج/مل,epirubicine mylan 2 mg ml
riniazide,RIFAMPICINE / ISONIAZIDE,300 / 150,MG / MG,GELULE,1 BOITE 100 GELULE,305.5,202.1,305.5,G,0%,رينيازيدي,riniazide
valdoxan 25 mg,AGOMELATINE,25,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,499.0,330.1,499.0,P,0%,فالدوكسان 25 مج,valdoxan 25 mg
zeffix,LAMIVUDINE,100,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,914.0,632.0,914.0,P,70%,زيففيكس,zeffix
arnigel,SOUCHE HOMEOPATHIQUE,,,GEL,1 TUBE 45 G,45.0,29.5,45.0,P,0%,ارنيجيل,arnigel
chibro-proscar,FINASTERIDE,5,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME,313.4,207.3,313.4,P,0%,كهيبرو-بروسكار,chibro proscar
betadine scrub,POVIDONE IODEE,4,G,SOLUTION MOUSSANTE POUR APPLICATION LOCALE,1 FLACON 125 ML,16.6,11.0,16.6,P,0%,بيتاديني سكروب,betadine scrub
spregal,ESDEPALLETHRINE / BUTOXYDE DE PIPERONYLE,0.63 / 5.04,% / %,SOLUTION POUR APPLICATION LOCALE,1 FLACON 152 G,106.0,70.1,106.0,P,0%,سبريجال,spregal
coronat,CARVEDILOL,25,MG,COMPRIME,1 BOITE 30 COMPRIME,116.9,73.1,116.9,G,70%,كورونات,coronat
diprezar,LOSARTAN / HYDROCHLOROTHIAZIDE,50 / 12.5,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME,126.0,78.7,126.0,G,70%,ديبريزار,diprezar
bricanyl lp,TERBUTALINE,5,MG,COMPRIME LP,1 BOITE 30 COMPRIME,47.2,31.2,47.2,P,0%,بريكانيل لب,bricanyl lp
docetaxel cooper 20 mg,DOCETAXEL,20,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON .5 ML,842.0,560.0,842.0,G,70%,دوكيتاكسيل كووبير 20 مج,docetaxel cooper 20 mg
vancocine,VANCOMYCINE,500,MG,LYOPHILISAT POUR PERFUSION,1 BOITE 1 FLACON,244.3,161.6,190.0,P,70%,فانكوكيني,vancocine
pulmofluide enf,GUAIFENESINE / PHOLCODINE,41 / 19.7,MG / MG,SIROP,1 FLACON 150 ML,11.9,7.9,11.9,P,0%,بولموفلويدي ينف,pulmofluide enf
fungilyse,ECONAZOLE,1,%,CREME,1 TUBE 50 G,30.5,19.0,30.5,G,70%,فونجيليسي,fungilyse
anzemet,DOLASETRON,100,MG,SOLUTION INJECTABLE,1 AMPOULE 5 ML,151.17,100.0,151.17,P,70%,انزيميت,anzemet
aracytine,CYTARABINE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 FLACON 5 ML,436.0,290.0,436.0,P,70%,اراكيتيني,aracytine
beviran,MEBEVERINE,200,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,44.0,27.4,44.0,G,70%,بيفيران,beviran
rennie,CARBONATE DE CALCIUM / CARBONATE DE MAGNESIUM,680 / 80,MG / MG,COMPRIME,1 BOITE 36 COMPRIME,14.45,9.6,14.45,P,0%,ريننيي,rennie
gentagam 80,GENTAMICINE,80,MG,SOLUTION INJECTABLE,1 BOITE 25 AMPOULE INJECTABLE,61.2,0.0,61.2,G,70%,جينتاجام 80,gentagam 80
mabthera,RITUXIMAB,500,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 50 ML,13737.0,13475.0,13737.0,P,70%,مابتهيرا,mabthera
mucinum a l extrait cascara,SENE / CASCARA,30 / 40,MG / MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,21.2,14.0,21.2,P,0%,موكينوم ا ل يكسترايت كاسكارا,mucinum a l extrait cascara
